Samples,FlowPattern,Vsl,Vsg,VisL,VisG,DenL,DenG,ST,Ang,ID,FPLabels
117,4,0.05375,24.9492,0.001,2.00E-05,1000,1.8,0.07,90,0.051,A
118,5,0.4,6,0.001,2.00E-05,1000,1.8,0.07,0.5,0.025,I
119,2,0.025,0.025,0.001,2.00E-05,1000,1.8,0.07,0,0.051,SS
120,5,0.00388,0.06149,0.001,2.00E-05,1000,1.8,0.07,70,0.025,I
121,5,0.39658,6.70574,0.001,2.00E-05,1000,1.8,0.07,50,0.025,I
122,5,0.25,0.63,0.001,2.00E-05,1000,1.8,0.07,0,0.051,I
123,5,1.5,0.06,0.001,2.00E-05,1000,1.8,0.07,0.25,0.025,I
124,3,0.004,25,0.001,2.00E-05,1000,1.8,0.07,10,0.051,SW
125,5,4,1,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,I
126,5,1,6.3,0.001,2.00E-05,1000,1.8,0.07,0.25,0.051,I
127,2,0.004,0.4,0.001,2.00E-05,1000,1.8,0.07,0,0.025,SS
128,7,1.52357,0.14564,0.001,2.00E-05,1000,1.8,0.07,70,0.051,B
129,5,0.07906,6.10209,0.001,2.00E-05,1000,1.8,0.07,15,0.051,I
130,1,4.20277,0.60873,0.001,2.00E-05,1000,1.8,0.07,-80,0.051,DB
131,3,0.004,1.54839,0.001,2.00E-05,1000,1.8,0.07,-80,0.025,SW
132,5,4,10,0.001,2.00E-05,1000,1.8,0.07,5,0.051,I
133,7,0.09827,0.02537,0.001,2.00E-05,1000,1.8,0.07,85,0.051,B
134,3,0.1,1,0.001,2.00E-05,1000,1.8,0.07,-1,0.051,SW
135,5,0.42773,0.06043,0.001,2.00E-05,1000,1.8,0.07,-50,0.051,I
136,5,2.39213,17.0008,0.001,2.00E-05,1000,1.8,0.07,-90,0.025,I
137,3,0.61926,0.09517,0.001,2.00E-05,1000,1.8,0.07,-70,0.025,SW
138,5,0.01,1.5,0.001,2.00E-05,1000,1.8,0.07,0.25,0.025,I
139,1,2.43623,0.4181,0.001,2.00E-05,1000,1.8,0.07,80,0.051,DB
140,5,1.56656,0.20738,0.001,2.00E-05,1000,1.8,0.07,30,0.051,I
141,4,0.16,16,0.001,2.00E-05,1000,1.8,0.07,2,0.051,A
142,4,0.39297,24.8726,0.001,2.00E-05,1000,1.8,0.07,50,0.025,A
143,5,0.00418,6.59962,0.001,2.00E-05,1000,1.8,0.07,30,0.025,I
144,4,0.004,25,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,A
145,3,0.01,6.3,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,SW
146,5,0.23784,0.24608,0.001,2.00E-05,1000,1.8,0.07,70,0.051,I
147,5,2.52051,4.19391,0.001,2.00E-05,1000,1.8,0.07,-70,0.051,I
148,2,0.01,2.5,0.001,2.00E-05,1000,1.8,0.07,0,0.051,SS
149,5,1,2.5,0.001,2.00E-05,1000,1.8,0.07,0.25,0.025,I
150,5,2.5,2.5,0.001,2.00E-05,1000,1.8,0.07,0,0.051,I
151,1,4,2.5,0.001,2.00E-05,1000,1.8,0.07,2,0.051,DB
152,4,0.016,25,0.001,2.00E-05,1000,1.8,0.07,5,0.025,A
153,3,0.0016,6.3,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,SW
154,5,2.20209,0.03786,0.001,2.00E-05,1000,1.8,0.07,-50,0.051,I
155,3,0.0063,10,0.001,2.00E-05,1000,1.8,0.07,2,0.051,SW
156,3,0.06715,10.2807,0.001,2.00E-05,1000,1.8,0.07,-80,0.025,SW
157,3,0.67053,0.03821,0.001,2.00E-05,1000,1.8,0.07,-30,0.025,SW
158,5,1.70735,10.0753,0.001,2.00E-05,1000,1.8,0.07,-90,0.051,I
159,5,0.63,2.5,0.001,2.00E-05,1000,1.8,0.07,-1,0.025,I
160,4,0.015,15,0.001,2.00E-05,1000,1.8,0.07,10,0.025,A
161,5,0.00417,0.05903,0.001,2.00E-05,1000,1.8,0.07,90,0.025,I
162,5,2.42803,26.0661,0.001,2.00E-05,1000,1.8,0.07,-30,0.051,I
163,4,0.16,16,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,A
164,4,0.25887,0.0982,0.001,2.00E-05,1000,1.8,0.07,-80,0.025,A
165,5,1,4,0.001,2.00E-05,1000,1.8,0.07,1,0.025,I
166,1,2.65878,0.09233,0.001,2.00E-05,1000,1.8,0.07,90,0.025,DB
167,1,2.61138,0.25449,0.001,2.00E-05,1000,1.8,0.07,-30,0.025,DB
168,5,0.10614,1,0.001,2.00E-05,1000,1.8,0.07,15,0.025,I
169,5,0.11006,5.91691,0.001,2.00E-05,1000,1.8,0.07,30,0.051,I
170,5,1.046,0.02364,0.001,2.00E-05,1000,1.8,0.07,30,0.051,I
171,5,1,10,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,I
172,5,0.00413,0.41076,0.001,2.00E-05,1000,1.8,0.07,30,0.025,I
173,4,0.16567,25.2637,0.001,2.00E-05,1000,1.8,0.07,-70,0.051,A
174,5,0.05725,4.18744,0.001,2.00E-05,1000,1.8,0.07,80,0.051,I
175,5,0.00383,0.64077,0.001,2.00E-05,1000,1.8,0.07,30,0.025,I
176,1,6.3,0.16,0.001,2.00E-05,1000,1.8,0.07,0,0.051,DB
177,5,0.09493,1.04131,0.001,2.00E-05,1000,1.8,0.07,20,0.025,I
178,3,0.006,3.99879,0.001,2.00E-05,1000,1.8,0.07,0.25,0.025,SW
179,1,2.65356,0.24476,0.001,2.00E-05,1000,1.8,0.07,30,0.025,DB
180,2,0.004,1.6,0.001,2.00E-05,1000,1.8,0.07,-1,0.051,SS
181,5,1.79586,3.96549,0.001,2.00E-05,1000,1.8,0.07,85,0.051,I
182,5,0.00402,3.78552,0.001,2.00E-05,1000,1.8,0.07,-50,0.051,I
183,1,2.30403,0.05427,0.001,2.00E-05,1000,1.8,0.07,30,0.051,DB
184,5,4,6.3,0.001,2.00E-05,1000,1.8,0.07,2,0.051,I
185,4,0.00594,15.5537,0.001,2.00E-05,1000,1.8,0.07,80,0.051,A
186,5,0.0039,0.15872,0.001,2.00E-05,1000,1.8,0.07,30,0.025,I
187,4,0.03652,26.8167,0.001,2.00E-05,1000,1.8,0.07,80,0.051,A
188,1,2.00167,0.01556,0.001,2.00E-05,1000,1.8,0.07,-30,0.025,DB
189,5,0.64456,9.82724,0.001,2.00E-05,1000,1.8,0.07,20,0.051,I
190,3,0.01,1.6,0.001,2.00E-05,1000,1.8,0.07,-5,0.025,SW
191,5,1,0.16,0.001,2.00E-05,1000,1.8,0.07,1,0.025,I
192,5,1,2.5,0.001,2.00E-05,1000,1.8,0.07,1,0.051,I
193,3,1.6,0.04,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,SW
194,2,0.063,0.1,0.001,2.00E-05,1000,1.8,0.07,0,0.051,SS
195,4,0.23226,23.9246,0.001,2.00E-05,1000,1.8,0.07,50,0.051,A
196,3,0.2611,0.0958,0.001,2.00E-05,1000,1.8,0.07,-80,0.051,SW
197,3,0.04,16,0.001,2.00E-05,1000,1.8,0.07,-10,0.051,SW
198,3,0.004,15,0.001,2.00E-05,1000,1.8,0.07,0,0.025,SW
199,5,2.5,4,0.001,2.00E-05,1000,1.8,0.07,-1,0.051,I
200,3,0.4109,5.90611,0.001,2.00E-05,1000,1.8,0.07,-80,0.051,SW
201,5,0.00956,0.99789,0.001,2.00E-05,1000,1.8,0.07,-50,0.025,I
202,1,4,1.6,0.001,2.00E-05,1000,1.8,0.07,0,0.051,DB
203,5,2.6813,0.24582,0.001,2.00E-05,1000,1.8,0.07,15,0.025,I
204,4,0.025,40,0.001,2.00E-05,1000,1.8,0.07,0,0.025,A
205,5,1,6.3,0.001,2.00E-05,1000,1.8,0.07,5,0.051,I
206,5,1.49893,4.20336,0.001,2.00E-05,1000,1.8,0.07,80,0.051,I
207,5,1,0.4,0.001,2.00E-05,1000,1.8,0.07,10,0.025,I
208,5,0.4,16,0.001,2.00E-05,1000,1.8,0.07,10,0.051,I
209,5,1.5,0.1,0.001,2.00E-05,1000,1.8,0.07,0,0.025,I
210,4,0.16167,24.6447,0.001,2.00E-05,1000,1.8,0.07,20,0.051,A
211,5,1.6,6.3,0.001,2.00E-05,1000,1.8,0.07,-5,0.025,I
212,4,0.0037,37.264,0.001,2.00E-05,1000,1.8,0.07,-50,0.025,A
213,5,1.60353,0.06053,0.001,2.00E-05,1000,1.8,0.07,50,0.051,I
214,5,0.01,0.1,0.001,2.00E-05,1000,1.8,0.07,5,0.025,I
215,5,1.59986,9.48195,0.001,2.00E-05,1000,1.8,0.07,15,0.051,I
216,3,0.016,6.3,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,SW
217,3,0.04,10,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,SW
218,5,0.01,4,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,I
219,4,0.06,4,0.001,2.00E-05,1000,1.8,0.07,0,0.025,A
220,5,0.4,0.63,0.001,2.00E-05,1000,1.8,0.07,1,0.025,I
221,5,0.01,0.63,0.001,2.00E-05,1000,1.8,0.07,5,0.051,I
222,5,0.02211,0.14609,0.001,2.00E-05,1000,1.8,0.07,70,0.025,I
223,5,0.11074,0.36517,0.001,2.00E-05,1000,1.8,0.07,15,0.025,I
224,3,0.63,1,0.001,2.00E-05,1000,1.8,0.07,-1,0.051,SW
225,5,0.37617,0.63637,0.001,2.00E-05,1000,1.8,0.07,30,0.025,I
226,1,4.27424,1.55679,0.001,2.00E-05,1000,1.8,0.07,20,0.025,DB
227,4,0.00969,39.3966,0.001,2.00E-05,1000,1.8,0.07,-30,0.025,A
228,7,1.57539,0.39069,0.001,2.00E-05,1000,1.8,0.07,70,0.051,B
229,4,0.00996,24.5617,0.001,2.00E-05,1000,1.8,0.07,-70,0.051,A
230,5,1.5,0.4,0.001,2.00E-05,1000,1.8,0.07,0.5,0.025,I
231,5,2.5,4,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,I
232,3,0.01,0.1,0.001,2.00E-05,1000,1.8,0.07,-10,0.025,SW
233,3,1.63448,4.20247,0.001,2.00E-05,1000,1.8,0.07,-30,0.025,SW
234,5,4,2.5,0.001,2.00E-05,1000,1.8,0.07,0,0.051,I
235,5,0.01023,0.03919,0.001,2.00E-05,1000,1.8,0.07,30,0.025,I
236,1,4,0.1,0.001,2.00E-05,1000,1.8,0.07,10,0.025,DB
237,3,0.15404,15.4687,0.001,2.00E-05,1000,1.8,0.07,-30,0.051,SW
238,5,2.41374,15.5778,0.001,2.00E-05,1000,1.8,0.07,50,0.051,I
239,3,0.16,4,0.001,2.00E-05,1000,1.8,0.07,-1,0.025,SW
240,4,1.01672,15.8471,0.001,2.00E-05,1000,1.8,0.07,-80,0.051,A
241,1,5,0.63,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,DB
242,3,0.0063,25,0.001,2.00E-05,1000,1.8,0.07,-1,0.051,SW
243,3,0.0063,0.04,0.001,2.00E-05,1000,1.8,0.07,-5,0.025,SW
244,4,0.004,40,0.001,2.00E-05,1000,1.8,0.07,10,0.051,A
245,1,2.59747,0.09245,0.001,2.00E-05,1000,1.8,0.07,-70,0.025,DB
246,3,0.00256,15.3647,0.001,2.00E-05,1000,1.8,0.07,-30,0.051,SW
247,3,1.59007,4.06452,0.001,2.00E-05,1000,1.8,0.07,-30,0.051,SW
248,1,3.66511,1.55797,0.001,2.00E-05,1000,1.8,0.07,90,0.051,DB
249,4,0.025,15,0.001,2.00E-05,1000,1.8,0.07,0,0.025,A
250,5,0.93254,0.06166,0.001,2.00E-05,1000,1.8,0.07,-80,0.051,I
251,3,0.016,16,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,SW
252,4,0.06398,16.9829,0.001,2.00E-05,1000,1.8,0.07,-80,0.025,A
253,5,2.46032,24.8639,0.001,2.00E-05,1000,1.8,0.07,50,0.051,I
254,4,0.15635,25.6518,0.001,2.00E-05,1000,1.8,0.07,-80,0.025,A
255,5,1.67024,0.39242,0.001,2.00E-05,1000,1.8,0.07,15,0.025,I
256,5,0.03521,3.71901,0.001,2.00E-05,1000,1.8,0.07,90,0.051,I
257,1,2.6101,0.37659,0.001,2.00E-05,1000,1.8,0.07,-80,0.051,DB
258,4,0.03946,16.7106,0.001,2.00E-05,1000,1.8,0.07,-80,0.025,A
259,4,0.0157,25.8618,0.001,2.00E-05,1000,1.8,0.07,-70,0.025,A
260,4,0.015,40,0.001,2.00E-05,1000,1.8,0.07,0.25,0.025,A
261,5,0.1,4,0.001,2.00E-05,1000,1.8,0.07,0.5,0.025,I
262,3,1,0.1,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,SW
263,5,1.6,25,0.001,2.00E-05,1000,1.8,0.07,-10,0.051,I
264,4,0.10516,17.1544,0.001,2.00E-05,1000,1.8,0.07,15,0.025,A
265,4,0.00159,24.9531,0.001,2.00E-05,1000,1.8,0.07,70,0.051,A
266,5,0.63,16,0.001,2.00E-05,1000,1.8,0.07,-1,0.025,I
267,5,0.64068,25.1238,0.001,2.00E-05,1000,1.8,0.07,50,0.051,I
268,5,0.03237,9.92429,0.001,2.00E-05,1000,1.8,0.07,15,0.051,I
269,5,0.0025,2.5,0.001,2.00E-05,1000,1.8,0.07,2,0.051,I
270,5,2.4617,1.60432,0.001,2.00E-05,1000,1.8,0.07,-30,0.025,I
271,3,0.016,4,0.001,2.00E-05,1000,1.8,0.07,-1,0.025,SW
272,4,0.00643,41.0037,0.001,2.00E-05,1000,1.8,0.07,-70,0.025,A
273,5,0.00543,10.3873,0.001,2.00E-05,1000,1.8,0.07,15,0.051,I
274,5,0.01,0.04,0.001,2.00E-05,1000,1.8,0.07,1,0.025,I
275,4,0.01576,25.9328,0.001,2.00E-05,1000,1.8,0.07,-80,0.025,A
276,5,2.67791,0.96466,0.001,2.00E-05,1000,1.8,0.07,-50,0.051,I
277,1,2.66402,0.1575,0.001,2.00E-05,1000,1.8,0.07,90,0.051,DB
278,5,1.03663,2.28757,0.001,2.00E-05,1000,1.8,0.07,-50,0.051,I
279,3,0.063,6.3,0.001,2.00E-05,1000,1.8,0.07,0,0.051,SW
280,3,0.16,10,0.001,2.00E-05,1000,1.8,0.07,-10,0.051,SW
281,3,0.4,0.016,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,SW
282,5,1.5,0.03997,0.001,2.00E-05,1000,1.8,0.07,0.5,0.025,I
283,4,0.15763,25.4812,0.001,2.00E-05,1000,1.8,0.07,-70,0.025,A
284,5,0.6,6,0.001,2.00E-05,1000,1.8,0.07,0.5,0.025,I
285,3,0.004,0.1,0.001,2.00E-05,1000,1.8,0.07,-10,0.051,SW
286,1,6.3,1.6,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,DB
287,5,1.6,0.63,0.001,2.00E-05,1000,1.8,0.07,5,0.025,I
288,5,0.24402,0.03988,0.001,2.00E-05,1000,1.8,0.07,70,0.025,I
289,3,0.004,0.015,0.001,2.00E-05,1000,1.8,0.07,-10,0.025,SW
290,5,0.946,15.7938,0.001,2.00E-05,1000,1.8,0.07,30,0.025,I
291,1,2.5,0.015,0.001,2.00E-05,1000,1.8,0.07,-10,0.025,DB
292,3,0.063,0.1,0.001,2.00E-05,1000,1.8,0.07,-1,0.025,SW
293,5,0.01,0.4,0.001,2.00E-05,1000,1.8,0.07,2,0.025,I
294,3,0.025,10,0.001,2.00E-05,1000,1.8,0.07,-5,0.025,SW
295,5,1.51375,10.6813,0.001,2.00E-05,1000,1.8,0.07,-30,0.051,I
296,3,0.63,0.04,0.001,2.00E-05,1000,1.8,0.07,-1,0.051,SW
297,3,0.63014,0.39146,0.001,2.00E-05,1000,1.8,0.07,-70,0.051,SW
298,5,1.5356,1.49598,0.001,2.00E-05,1000,1.8,0.07,70,0.025,I
299,5,2.32995,6.10209,0.001,2.00E-05,1000,1.8,0.07,15,0.051,I
300,5,0.1,1,0.001,2.00E-05,1000,1.8,0.07,10,0.051,I
301,5,1.5,0.1,0.001,2.00E-05,1000,1.8,0.07,-1,0.025,I
302,4,0.64701,15.5931,0.001,2.00E-05,1000,1.8,0.07,-70,0.025,A
303,3,0.004,1.6,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,SW
304,5,0.1,6.3,0.001,2.00E-05,1000,1.8,0.07,5,0.051,I
305,5,0.02419,6.4131,0.001,2.00E-05,1000,1.8,0.07,20,0.051,I
306,5,0.4,0.63,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,I
307,4,0.016,25,0.001,2.00E-05,1000,1.8,0.07,1,0.025,A
308,5,0.10054,0.38803,0.001,2.00E-05,1000,1.8,0.07,50,0.051,I
309,5,1,25,0.001,2.00E-05,1000,1.8,0.07,-1,0.025,I
310,5,0.0038,2.49409,0.001,2.00E-05,1000,1.8,0.07,-50,0.025,I
311,5,0.01,0.04,0.001,2.00E-05,1000,1.8,0.07,2,0.025,I
312,4,0.25,16,0.001,2.00E-05,1000,1.8,0.07,5,0.025,A
313,4,0.3692,1.61144,0.001,2.00E-05,1000,1.8,0.07,-90,0.025,A
314,2,0.004,1,0.001,2.00E-05,1000,1.8,0.07,0,0.025,SS
315,5,1,4,0.001,2.00E-05,1000,1.8,0.07,0,0.025,I
316,5,0.17167,6.28605,0.001,2.00E-05,1000,1.8,0.07,85,0.051,I
317,1,2.54758,0.38771,0.001,2.00E-05,1000,1.8,0.07,-70,0.051,DB
318,5,0.15,0.03997,0.001,2.00E-05,1000,1.8,0.07,0.5,0.025,I
319,5,1.6,2.5,0.001,2.00E-05,1000,1.8,0.07,1,0.025,I
320,5,0.25,4,0.001,2.00E-05,1000,1.8,0.07,0.25,0.051,I
321,5,0.0394,0.61596,0.001,2.00E-05,1000,1.8,0.07,50,0.025,I
322,5,0.63,6.3,0.001,2.00E-05,1000,1.8,0.07,0.25,0.051,I
